Time da Casa,Posição do Time da Casa,Time Visitante,Posição do Time Visitante,Rodada,Data do Jogo,Hora do Jogo,Resultado Final - Time da Casa,Resultado Final - Time Visitante,Estádio,Público,Árbitro
SE Palmeiras,4,Cuiabá EC,15,1,"sáb, 15/04/23",16:00,2,1,Allianz Parque,35.835 torcedores,Paulo Cesar Zanovelli
América Mineiro,20,Fluminense FC,1,1,"sáb, 15/04/23",16:00,0,3,Estádio Raimundo Sampaio,6.653 torcedores,Braulio da Silva Machado
Botafogo FR,6,São Paulo FC,14,1,"sáb, 15/04/23",18:30,2,1,Estádio Olímpico Nilton Santos,11.708 torcedores,Ramon Abatti
RB Bragantino,5,EC Bahia,12,1,"sáb, 15/04/23",18:30,2,1,Estádio Nabi Abi Chedid,3.368 torcedores,Maguielson Lima Barbosa
Athletico Paranaense,3,Goiás EC,18,1,"sáb, 15/04/23",18:30,2,0,Ligga Arena,15.329 torcedores,Rafael Rodrigo Klein
Fortaleza EC,11,SC Internacional,10,1,"sáb, 15/04/23",18:30,1,1,Estádio Governador Plácido Castelo,30.191 torcedores,Edina Alves Batista
Atlético Mineiro,16,CR Vasco da Gama,8,1,"sáb, 15/04/23",21:00,1,2,Estádio Governador Magalhães Pinto,34.980 torcedores,Raphael Claus
CR Flamengo,2,Coritiba FC,19,1,"dom, 16/04/23",16:00,3,0,Estádio Jornalista Mário Filho,42.848 torcedores,Rodrigo Jose Pereira de Lima
SC Corinthians,7,Cruzeiro EC,13,1,"dom, 16/04/23",16:00,2,1,Neo Química Arena,41.304 torcedores,Anderson Daronco
Grêmio FBPA,9,Santos FC,17,1,"dom, 16/04/23",18:30,1,0,Estádio Alfredo Jaconi,13.997 torcedores,Wilton Sampaio
Fluminense FC,1,Athletico Paranaense,11,2,"sáb, 22/04/23",16:00,2,0,Estádio Jornalista Mário Filho,38.598 torcedores,Paulo Cesar Zanovelli
São Paulo FC,9,América Mineiro,20,2,"sáb, 22/04/23",18:30,3,0,MorumBIS,41.006 torcedores,Wagner do Nascimento Magalhães
Cuiabá EC,15,RB Bragantino,7,2,"sáb, 22/04/23",18:30,1,1,Arena Pantanal,9.267 torcedores,Caio Max Augusto Vieira
Cruzeiro EC,12,Grêmio FBPA,13,2,"sáb, 22/04/23",21:00,1,0,Estádio Raimundo Sampaio,21.605 torcedores,Flavio Rodrigues de Souza
SC Internacional,6,CR Flamengo,8,2,"dom, 23/04/23",11:00,2,1,Estádio Beira-Rio,45.751 torcedores,Ramon Abatti
CR Vasco da Gama,5,SE Palmeiras,4,2,"dom, 23/04/23",16:00,2,2,Estádio Jornalista Mário Filho,59.867 torcedores,Rafael Rodrigo Klein
Santos FC,17,Atlético Mineiro,16,2,"dom, 23/04/23",16:00,0,0,Estádio Urbano Caldeira,11.233 torcedores,Braulio da Silva Machado
Coritiba FC,19,Fortaleza EC,3,2,"dom, 23/04/23",18:30,0,3,Estádio Major Antônio Couto Pereira,24.423 torcedores,Wilton Sampaio
Goiás EC,10,SC Corinthians,14,2,"dom, 23/04/23",19:00,3,1,Estádio Serra Dourada,10.162 torcedores,Bruno Arleu de Araújo
EC Bahia,18,Botafogo FR,2,2,"seg, 24/04/23",20:00,1,2,Arena Fonte Nova,27.427 torcedores,Raphael Claus
Coritiba FC,19,São Paulo FC,8,3,"sáb, 29/04/23",16:30,1,1,Estádio Major Antônio Couto Pereira,25.210 torcedores,Rafael Rodrigo Klein
Fortaleza EC,2,Fluminense FC,5,3,"sáb, 29/04/23",16:30,4,2,Estádio Governador Plácido Castelo,39.943 torcedores,Raphael Claus
SE Palmeiras,3,SC Corinthians,17,3,"sáb, 29/04/23",18:30,2,1,Allianz Parque,41.457 torcedores,Wilton Sampaio
Santos FC,11,América Mineiro,20,3,"sáb, 29/04/23",18:30,3,2,Estádio Urbano Caldeira,11.844 torcedores,Anderson Daronco
RB Bragantino,12,Cruzeiro EC,6,3,"sáb, 29/04/23",18:30,0,3,Estádio Nabi Abi Chedid,4.829 torcedores,Braulio da Silva Machado
Atlético Mineiro,10,Athletico Paranaense,15,3,"sáb, 29/04/23",21:00,2,1,Estádio Raimundo Sampaio,15.037 torcedores,Ramon Abatti
CR Flamengo,13,Botafogo FR,1,3,"dom, 30/04/23",16:00,2,3,Estádio Jornalista Mário Filho,53.138 torcedores,Edina Alves Batista
SC Internacional,4,Goiás EC,14,3,"dom, 30/04/23",18:30,1,0,Estádio Beira-Rio,29.193 torcedores,Rodrigo Jose Pereira de Lima
Cuiabá EC,18,Grêmio FBPA,7,3,"dom, 30/04/23",18:30,1,2,Arena Pantanal,21.385 torcedores,Bruno Arleu de Araújo
CR Vasco da Gama,9,EC Bahia,16,3,"seg, 01/05/23",20:00,0,1,Estádio São Januário,19.223 torcedores,Flavio Rodrigues de Souza
Cruzeiro EC,3,Santos FC,14,4,"sáb, 06/05/23",16:00,2,1,Estádio Raimundo Sampaio,21.191 torcedores,Bruno Arleu de Araújo
Fluminense FC,6,CR Vasco da Gama,11,4,"sáb, 06/05/23",21:00,1,1,Estádio Jornalista Mário Filho,39.850 torcedores,Wilton Sampaio
América Mineiro,20,Cuiabá EC,13,4,"dom, 07/05/23",11:00,1,2,Estádio Raimundo Sampaio,5.228 torcedores,Denis Ribeiro Serafim
São Paulo FC,5,SC Internacional,8,4,"dom, 07/05/23",16:00,2,0,MorumBIS,46.093 torcedores,Braulio da Silva Machado
Athletico Paranaense,10,CR Flamengo,17,4,"dom, 07/05/23",16:00,2,1,Ligga Arena,32.949 torcedores,Raphael Claus
EC Bahia,9,Coritiba FC,19,4,"dom, 07/05/23",16:00,3,1,Arena Fonte Nova,37.936 torcedores,Bruno Mota Correia
Botafogo FR,1,Atlético Mineiro,16,4,"dom, 07/05/23",18:30,2,0,Estádio Olímpico Nilton Santos,18.218 torcedores,Flavio Rodrigues de Souza
Goiás EC,18,SE Palmeiras,2,4,"dom, 07/05/23",18:30,0,5,Estádio Serra Dourada,13.789 torcedores,Wagner do Nascimento Magalhães
Grêmio FBPA,7,RB Bragantino,12,4,"dom, 07/05/23",18:30,3,3,Arena do Grêmio,23.760 torcedores,Paulo Cesar Zanovelli
SC Corinthians,15,Fortaleza EC,4,4,"seg, 08/05/23",20:00,1,1,Neo Química Arena,36.512 torcedores,Ramon Abatti
Santos FC,9,EC Bahia,13,5,"qua, 10/05/23",19:00,3,0,Estádio Urbano Caldeira,7.262 torcedores,Wagner do Nascimento Magalhães
RB Bragantino,15,América Mineiro,20,5,"qua, 10/05/23",19:00,2,2,Estádio Nabi Abi Chedid,2.909 torcedores,Rafael Rodrigo Klein
SC Internacional,11,Athletico Paranaense,4,5,"qua, 10/05/23",19:00,0,2,Estádio Beira-Rio,13.537 torcedores,Bruno Arleu de Araújo
Cuiabá EC,17,Atlético Mineiro,8,5,"qua, 10/05/23",20:00,0,4,Arena Pantanal,12.029 torcedores,Wilton Sampaio
CR Flamengo,12,Goiás EC,18,5,"qua, 10/05/23",20:00,2,0,Estádio Jornalista Mário Filho,44.948 torcedores,Savio Pereira Sampaio
SE Palmeiras,2,Grêmio FBPA,10,5,"qua, 10/05/23",21:30,4,1,Allianz Parque,37.532 torcedores,Braulio da Silva Machado
Cruzeiro EC,5,Fluminense FC,3,5,"qua, 10/05/23",21:30,0,2,Estádio Governador Magalhães Pinto,51.846 torcedores,Flavio Rodrigues de Souza
Coritiba FC,19,CR Vasco da Gama,14,5,"qui, 11/05/23",19:00,1,1,Estádio Major Antônio Couto Pereira,20.880 torcedores,Ramon Abatti
Botafogo FR,1,SC Corinthians,16,5,"qui, 11/05/23",19:30,3,0,Estádio Olímpico Nilton Santos,22.388 torcedores,Anderson Daronco
Fortaleza EC,6,São Paulo FC,7,5,"qui, 11/05/23",20:00,0,0,Estádio Governador Plácido Castelo,37.775 torcedores,Paulo Cesar Zanovelli
EC Bahia,14,CR Flamengo,9,6,"sáb, 13/05/23",16:00,2,3,Arena Fonte Nova,48.502 torcedores,Paulo Cesar Zanovelli
Fluminense FC,3,Cuiabá EC,18,6,"sáb, 13/05/23",18:30,2,0,Estádio Jornalista Mário Filho,39.040 torcedores,Edina Alves Batista
SE Palmeiras,2,RB Bragantino,13,6,"sáb, 13/05/23",18:30,1,1,Allianz Parque,39.488 torcedores,Savio Pereira Sampaio
Atlético Mineiro,6,SC Internacional,12,6,"sáb, 13/05/23",21:00,2,0,Estádio Governador Magalhães Pinto,36.080 torcedores,Raphael Claus
CR Vasco da Gama,16,Santos FC,7,6,"dom, 14/05/23",16:00,0,1,Estádio São Januário,19.108 torcedores,Rodrigo Jose Pereira de Lima
SC Corinthians,17,São Paulo FC,10,6,"dom, 14/05/23",16:00,1,1,Neo Química Arena,41.434 torcedores,Bruno Arleu de Araújo
